,2010,2016,2017,2018,2019,2020,2021,2022,2023,about,academics,admissions,alumni,bachelor-secondary-education-major-mathematics-bsed-math,bachelor-secondary-education-major-science-bsed-science,blank,cas,category,certificate-program-elementary-teaching,cicct,cmo,coc,coe,coeng,contact,diploma-professional-education-concentration-catechism,diploma-professional-education-dpe,elementary,eteeap,etteap,events,gen-info,general-information,gradeschool,history,home,home-backup,hometest,impact,involve,junior-high-school-library,juniorhighschool,law,library,library2,login-customizer,news-events,nursing,online-enrollment,portfolio,poster-section,rafi-with-usj-r-provides-deped-with-mtb-mle-books,regs-test-page,research,reverse-eng-page,reverse-engineering,rittc,sams,sas,sbm,scholarships,scs,sdpc,sdpc-old,sdpc-test,sdpc2,seniorhighschool,shs-faculty-staff,site-map,social-media,soe,soeng,student-life,student-research-program-forms,test-com,testengrfac,university-calendar,usj-r-accountancy-business-ad-named-cod,usj-r-saitama-renew-pact-on-hr-monozukuri,virtual-tour,wp-content,wp-login.php,yoland
https://usjr.edu.ph/,https://usjr.edu.ph/2010/,https://usjr.edu.ph/2016/,https://usjr.edu.ph/2017/,https://usjr.edu.ph/2018/,https://usjr.edu.ph/2019/,https://usjr.edu.ph/2020/,https://usjr.edu.ph/2021/,https://usjr.edu.ph/2022/,https://usjr.edu.ph/2023/,https://usjr.edu.ph/about/,https://usjr.edu.ph/academics,https://usjr.edu.ph/admissions,https://usjr.edu.ph/alumni/,https://usjr.edu.ph/bachelor-secondary-education-major-mathematics-bsed-math/,https://usjr.edu.ph/bachelor-secondary-education-major-science-bsed-science/,https://usjr.edu.ph/blank/,https://usjr.edu.ph/cas,https://usjr.edu.ph/category/coc,https://usjr.edu.ph/certificate-program-elementary-teaching/,https://usjr.edu.ph/cicct,https://usjr.edu.ph/cmo/,https://usjr.edu.ph/coc,https://usjr.edu.ph/coe/,https://usjr.edu.ph/coeng,https://usjr.edu.ph/contact/,https://usjr.edu.ph/diploma-professional-education-concentration-catechism/,https://usjr.edu.ph/diploma-professional-education-dpe/,https://usjr.edu.ph/elementary/,https://usjr.edu.ph/eteeap,https://usjr.edu.ph/etteap/,https://usjr.edu.ph/events/,https://usjr.edu.ph/gen-info,https://usjr.edu.ph/general-information/,https://usjr.edu.ph/gradeschool/,https://usjr.edu.ph/history,https://usjr.edu.ph/home/,https://usjr.edu.ph/home-backup/,https://usjr.edu.ph/hometest/,https://usjr.edu.ph/impact/,https://usjr.edu.ph/involve/,https://usjr.edu.ph/junior-high-school-library/,https://usjr.edu.ph/juniorhighschool/,https://usjr.edu.ph/law,https://usjr.edu.ph/library,https://usjr.edu.ph/library2/,https://usjr.edu.ph/login-customizer/,https://usjr.edu.ph/news-events,https://usjr.edu.ph/nursing,https://usjr.edu.ph/online-enrollment/,https://usjr.edu.ph/portfolio/coc-awards-test/,https://usjr.edu.ph/poster-section/,https://usjr.edu.ph/rafi-with-usj-r-provides-deped-with-mtb-mle-books/,https://usjr.edu.ph/regs-test-page/,https://usjr.edu.ph/research,https://usjr.edu.ph/reverse-eng-page/,https://usjr.edu.ph/reverse-engineering/,https://usjr.edu.ph/rittc,https://usjr.edu.ph/sams/,https://usjr.edu.ph/sas/,https://usjr.edu.ph/sbm,https://usjr.edu.ph/scholarships,https://usjr.edu.ph/scs/,https://usjr.edu.ph/sdpc/,https://usjr.edu.ph/sdpc-old/,https://usjr.edu.ph/sdpc-test/,https://usjr.edu.ph/sdpc2/,https://usjr.edu.ph/seniorhighschool/,https://usjr.edu.ph/shs-faculty-staff/,https://usjr.edu.ph/site-map/,https://usjr.edu.ph/social-media/,https://usjr.edu.ph/soe,https://usjr.edu.ph/soeng/,https://usjr.edu.ph/student-life/,https://usjr.edu.ph/student-research-program-forms/,https://usjr.edu.ph/test-com/,https://usjr.edu.ph/testengrfac/,https://usjr.edu.ph/university-calendar/,https://usjr.edu.ph/usj-r-accountancy-business-ad-named-cod/,https://usjr.edu.ph/usj-r-saitama-renew-pact-on-hr-monozukuri/,https://usjr.edu.ph/virtual-tour/,https://usjr.edu.ph/wp-content/uploads/IMG_9353.jpg,https://usjr.edu.ph/wp-login.php,https://usjr.edu.ph/yoland/
,https://usjr.edu.ph/2010/06/,https://usjr.edu.ph/2016/01/,https://usjr.edu.ph/2017/01/,https://usjr.edu.ph/2018/01/,https://usjr.edu.ph/2019/01/,https://usjr.edu.ph/2020/01/,https://usjr.edu.ph/2021/01/,https://usjr.edu.ph/2022/01/,https://usjr.edu.ph/2023/01/,,https://usjr.edu.ph/academics/,https://usjr.edu.ph/admissions/,,,,,https://usjr.edu.ph/cas/,https://usjr.edu.ph/category/library,,https://usjr.edu.ph/cicct/,,https://usjr.edu.ph/coc/,https://usjr.edu.ph/coe/80-deped-teachers-awarded-mtb-mle-certificates/,https://usjr.edu.ph/coeng/,,,,https://usjr.edu.ph/elementary/about/,https://usjr.edu.ph/eteeap/,,https://usjr.edu.ph/events/categories/,https://usjr.edu.ph/gen-info/,,,https://usjr.edu.ph/history/,,,,,,,https://usjr.edu.ph/juniorhighschool/about,https://usjr.edu.ph/law/,https://usjr.edu.ph/library/,,,https://usjr.edu.ph/news-events/,https://usjr.edu.ph/nursing/degrees/undergraduate/nursing/,,https://usjr.edu.ph/portfolio/college-of-law/,,,,https://usjr.edu.ph/research/,,,https://usjr.edu.ph/rittc/,https://usjr.edu.ph/sams/about/,https://usjr.edu.ph/sas/about,https://usjr.edu.ph/sbm/,https://usjr.edu.ph/scholarships/,https://usjr.edu.ph/scs/about/,https://usjr.edu.ph/sdpc/staff,,,,https://usjr.edu.ph/seniorhighschool/about,,,,https://usjr.edu.ph/soe/,https://usjr.edu.ph/soeng/about/,https://usjr.edu.ph/student-life/campus-experience/,,,,,,,https://usjr.edu.ph/virtual-tour/balamban-campus/,https://usjr.edu.ph/wp-content/uploads/IMG_9401.jpg,,
,https://usjr.edu.ph/2010/06/26/balamban-campus/,https://usjr.edu.ph/2016/04/,https://usjr.edu.ph/2017/02/,https://usjr.edu.ph/2018/02/,https://usjr.edu.ph/2019/02/,https://usjr.edu.ph/2020/02/,https://usjr.edu.ph/2021/02/,https://usjr.edu.ph/2022/02/,https://usjr.edu.ph/2023/02/,,https://usjr.edu.ph/academics/graduate,https://usjr.edu.ph/admissions/requirements-continuing-students/,,,,,https://usjr.edu.ph/cas/hall-of-fame,https://usjr.edu.ph/category/rittc,,https://usjr.edu.ph/cicct/about,,https://usjr.edu.ph/coc/about,https://usjr.edu.ph/coe/degrees/undergraduate/beed-ece/,https://usjr.edu.ph/coeng/degrees/graduate/industrial-engineering-master-of-engineering-major/,,,,https://usjr.edu.ph/elementary/elem-hall-of-fame/,,,https://usjr.edu.ph/events/locations/,,,,,,,,,,,https://usjr.edu.ph/juniorhighschool/partners,https://usjr.edu.ph/law/about,https://usjr.edu.ph/library/about/,,,,,,https://usjr.edu.ph/portfolio/college-of-nursing/,,,,https://usjr.edu.ph/research/aboutus/,,,https://usjr.edu.ph/rittc/about,https://usjr.edu.ph/sams/clubs-and-organizations/,https://usjr.edu.ph/sas/about/,https://usjr.edu.ph/sbm/about/,,https://usjr.edu.ph/scs/adelanteoer/,https://usjr.edu.ph/sdpc/services/,,,,https://usjr.edu.ph/seniorhighschool/partners,,,,https://usjr.edu.ph/soe/about/,https://usjr.edu.ph/soeng/clubs-and-organizations/,https://usjr.edu.ph/student-life/student-activities/,,,,,,,https://usjr.edu.ph/virtual-tour/basak-campus/,https://usjr.edu.ph/wp-content/uploads/2016/04/DSC_0097.jpg,,
,https://usjr.edu.ph/2010/06/26/basak-campus/,https://usjr.edu.ph/2016/05/,https://usjr.edu.ph/2017/03/,https://usjr.edu.ph/2018/03/,https://usjr.edu.ph/2019/03/,https://usjr.edu.ph/2020/06/,https://usjr.edu.ph/2021/04/,https://usjr.edu.ph/2022/03/,https://usjr.edu.ph/2023/05/,,https://usjr.edu.ph/academics/undergraduate,https://usjr.edu.ph/admissions/requirements-freshmen/,,,,,https://usjr.edu.ph/cas/events/,https://usjr.edu.ph/category/alumni/,,https://usjr.edu.ph/cicct/degrees,,https://usjr.edu.ph/coc/degrees,https://usjr.edu.ph/coe/degrees/undergraduate/beedsped/,https://usjr.edu.ph/coeng/degrees/undergraduate/bs-com-eng/,,,,https://usjr.edu.ph/elementary/events/,,,https://usjr.edu.ph/events/my-bookings/,,,,,,,,,,,https://usjr.edu.ph/juniorhighschool/programs,https://usjr.edu.ph/law/about/,https://usjr.edu.ph/library/branch-libraries/,,,,,,https://usjr.edu.ph/portfolio/etteap/,,,,https://usjr.edu.ph/research/downloadables/,,,https://usjr.edu.ph/rittc/hall-of-fame,https://usjr.edu.ph/sams/degrees/,https://usjr.edu.ph/sas/degrees/,https://usjr.edu.ph/sbm/degrees/,,https://usjr.edu.ph/scs/clubs-and-organizations/,https://usjr.edu.ph/sdpc/staff/,,,,https://usjr.edu.ph/seniorhighschool/track,,,,https://usjr.edu.ph/soe/degrees/,https://usjr.edu.ph/soeng/degrees/,https://usjr.edu.ph/student-life/student-services/,,,,,,,https://usjr.edu.ph/virtual-tour/main-campus/,https://usjr.edu.ph/wp-content/uploads/2016/04/OEAM8412-1024x683.jpg,,
,https://usjr.edu.ph/2010/06/26/main-campus/,https://usjr.edu.ph/2016/06/,https://usjr.edu.ph/2017/04/,https://usjr.edu.ph/2018/05/,https://usjr.edu.ph/2019/04/,https://usjr.edu.ph/2020/07/,https://usjr.edu.ph/2021/05/,https://usjr.edu.ph/2022/04/,https://usjr.edu.ph/2023/06/,,https://usjr.edu.ph/academics/graduate/,https://usjr.edu.ph/admissions/requirements-returning-students/,,,,,https://usjr.edu.ph/cas/degrees/graduate/communication-broadcast-doctor-of-philosophy/,https://usjr.edu.ph/category/announcement/,,https://usjr.edu.ph/cicct/hall-of-fame,,https://usjr.edu.ph/coc/hall-of-fame,https://usjr.edu.ph/coe/degrees/undergraduate/bsed-english/,https://usjr.edu.ph/coeng/degrees/undergraduate/bsce/,,,,https://usjr.edu.ph/elementary/faculty-and-staff/,,,https://usjr.edu.ph/events/tags/,,,,,,,,,,,https://usjr.edu.ph/juniorhighschool/about/,https://usjr.edu.ph/law/clubs-and-organizations/,https://usjr.edu.ph/library/library-services/,,,,,,https://usjr.edu.ph/portfolio/guidance-curriculum/,,,,https://usjr.edu.ph/research/research-abstracts/,,,https://usjr.edu.ph/rittc/partners,https://usjr.edu.ph/sams/events/,https://usjr.edu.ph/sas/departments/,https://usjr.edu.ph/sbm/events/,,https://usjr.edu.ph/scs/contact/,,,,,https://usjr.edu.ph/seniorhighschool/about/,,,,https://usjr.edu.ph/soe/events/,https://usjr.edu.ph/soeng/events/,https://usjr.edu.ph/student-life/campus-experience/environmental-responsibility/,,,,,,,https://usjr.edu.ph/virtual-tour/basak-campus/bunao-highway/,https://usjr.edu.ph/wp-content/uploads/2016/05/1275223_10151946388189804_1670169053_o-1024x683.jpg,,
,,https://usjr.edu.ph/2016/07/,https://usjr.edu.ph/2017/05/,https://usjr.edu.ph/2018/06/,https://usjr.edu.ph/2019/05/,https://usjr.edu.ph/2020/08/,https://usjr.edu.ph/2021/06/,https://usjr.edu.ph/2022/06/,https://usjr.edu.ph/2023/01/13/usj-r-participates-in-sinulog-2023/,,https://usjr.edu.ph/academics/undergraduate/,https://usjr.edu.ph/admissions/requirements-shiftees/,,,,,https://usjr.edu.ph/cas/degrees/graduate/development-communication-master-of-science/,https://usjr.edu.ph/category/balamban-campus/,,https://usjr.edu.ph/cicct/partners,,https://usjr.edu.ph/coc/partners,https://usjr.edu.ph/coe/degrees/undergraduate/bsed-filipino/,https://usjr.edu.ph/coeng/degrees/undergraduate/bsece/,,,,,,,https://usjr.edu.ph/events/category/basak/,,,,,,,,,,,https://usjr.edu.ph/juniorhighschool/clubs-and-organizations/,https://usjr.edu.ph/law/degrees/,https://usjr.edu.ph/library/library-staff/,,,,,,https://usjr.edu.ph/portfolio/high-school/,,,,https://usjr.edu.ph/research/services/,,,https://usjr.edu.ph/rittc/programs,https://usjr.edu.ph/sams/faculty-and-staff/,https://usjr.edu.ph/sas/events/,https://usjr.edu.ph/sbm/faculty-and-staff/,,https://usjr.edu.ph/scs/degrees/,,,,,https://usjr.edu.ph/seniorhighschool/clubs-and-organizations/,,,,https://usjr.edu.ph/soe/faculty-and-staff/,https://usjr.edu.ph/soeng/faculty-and-staff/,https://usjr.edu.ph/student-life/campus-experience/facilities/,,,,,,,https://usjr.edu.ph/virtual-tour/basak-campus/canteen/,https://usjr.edu.ph/wp-content/uploads/2016/05/3-in-1-Affair.jpg,,
,,https://usjr.edu.ph/2016/08/,https://usjr.edu.ph/2017/06/,https://usjr.edu.ph/2018/07/,https://usjr.edu.ph/2019/06/,https://usjr.edu.ph/2020/09/,https://usjr.edu.ph/2021/07/,https://usjr.edu.ph/2022/08/,https://usjr.edu.ph/2023/01/23/usj-r-recognizes-cesafi-2022-athletes/,,,https://usjr.edu.ph/admissions/requirements-special-students/,,,,,https://usjr.edu.ph/cas/degrees/graduate/doctor-of-philosophy-english-literature/,https://usjr.edu.ph/category/basak-campus/,,https://usjr.edu.ph/cicct/clubs-and-organizations/,,https://usjr.edu.ph/coc/clubs-and-organizations/,https://usjr.edu.ph/coe/degrees/undergraduate/bsed-math/,https://usjr.edu.ph/coeng/degrees/undergraduate/bsee/,,,,,,,https://usjr.edu.ph/events/category/cas/,,,,,,,,,,,https://usjr.edu.ph/juniorhighschool/events/,https://usjr.edu.ph/law/events/,https://usjr.edu.ph/library/resources/,,,,,,https://usjr.edu.ph/portfolio/individual-student-planning/,,,,https://usjr.edu.ph/research/downloadables/downloadable-research-forms/,,,https://usjr.edu.ph/rittc/about/,https://usjr.edu.ph/sams/hall-of-fame/,https://usjr.edu.ph/sas/faculty-and-staff/,https://usjr.edu.ph/sbm/hall-of-fame/,,https://usjr.edu.ph/scs/events/,,,,,https://usjr.edu.ph/seniorhighschool/events/,,,,https://usjr.edu.ph/soe/hall-of-fame/,https://usjr.edu.ph/soeng/hall-of-fame/,https://usjr.edu.ph/student-life/campus-experience/safety-and-security/,,,,,,,https://usjr.edu.ph/virtual-tour/basak-campus/coliseum/,https://usjr.edu.ph/wp-content/uploads/2016/05/551440_10151508686089804_270826951_n.jpg,,
,,https://usjr.edu.ph/2016/09/,https://usjr.edu.ph/2017/07/,https://usjr.edu.ph/2018/08/,https://usjr.edu.ph/2019/07/,https://usjr.edu.ph/2020/10/,https://usjr.edu.ph/2021/08/,https://usjr.edu.ph/2022/09/,https://usjr.edu.ph/2023/01/24/usj-r-to-accept-applications-for-discount-until-february-4/,,,https://usjr.edu.ph/admissions/requirements-tranferees/,,,,,https://usjr.edu.ph/cas/degrees/graduate/doctor-of-philosophy-in-communication-print-media/,https://usjr.edu.ph/category/blog/,,https://usjr.edu.ph/cicct/events/,,https://usjr.edu.ph/coc/degrees/graduate,,https://usjr.edu.ph/coeng/degrees/undergraduate/bsie/,,,,,,,https://usjr.edu.ph/events/category/cicct/,,,,,,,,,,,https://usjr.edu.ph/juniorhighschool/faculty-and-staff/,https://usjr.edu.ph/law/faculty-and-staff/,https://usjr.edu.ph/library/services/,,,,,,https://usjr.edu.ph/portfolio/responsive-services/,,,,https://usjr.edu.ph/research/downloadables/ethics-review-board-forms/,,,https://usjr.edu.ph/rittc/events/,https://usjr.edu.ph/sams/partners/,https://usjr.edu.ph/sas/hall-of-fame/,https://usjr.edu.ph/sbm/organizations/,,https://usjr.edu.ph/scs/faculty-and-staff/,,,,,https://usjr.edu.ph/seniorhighschool/faculty-and-staff/,,,,https://usjr.edu.ph/soe/organizations/,https://usjr.edu.ph/soeng/partners/,https://usjr.edu.ph/student-life/student-activities/army-rotc/,,,,,,,https://usjr.edu.ph/virtual-tour/basak-campus/mrf/,https://usjr.edu.ph/wp-content/uploads/2016/05/Active-Participation-in-University-Intramurals-1-1024x859.jpg,,
,,https://usjr.edu.ph/2016/10/,https://usjr.edu.ph/2017/08/,https://usjr.edu.ph/2018/09/,https://usjr.edu.ph/2019/08/,https://usjr.edu.ph/2020/11/,https://usjr.edu.ph/2021/09/,https://usjr.edu.ph/2022/10/,https://usjr.edu.ph/2023/01/26/city-government-of-ormoc-usj-r-sign-moa-to-offer-graduate-school-program/,,,,,,,,https://usjr.edu.ph/cas/degrees/graduate/english-language-doctor-of-philosophy/,https://usjr.edu.ph/category/business/,,https://usjr.edu.ph/cicct/faculty-and-staff/,,https://usjr.edu.ph/coc/degrees/undergraduate,,https://usjr.edu.ph/coeng/degrees/undergraduate/bsme/,,,,,,,https://usjr.edu.ph/events/category/coc/,,,,,,,,,,,https://usjr.edu.ph/juniorhighschool/hall-of-fame/,https://usjr.edu.ph/law/law-hall-fame/,https://usjr.edu.ph/library/usjr-library-services/,,,,,,https://usjr.edu.ph/portfolio/rittc/,,,,https://usjr.edu.ph/research/downloadables/faculty-research-program-formsdownload/,,,https://usjr.edu.ph/rittc/faculty-and-staff/,https://usjr.edu.ph/sams/degrees/undergraduate/,https://usjr.edu.ph/sas/organizations/,https://usjr.edu.ph/sbm/partners/,,https://usjr.edu.ph/scs/hall-of-fame/,,,,,https://usjr.edu.ph/seniorhighschool/hall-of-fame/,,,,https://usjr.edu.ph/soe/partners/,https://usjr.edu.ph/soeng/degrees/graduate/,https://usjr.edu.ph/student-life/student-activities/athletics/,,,,,,,https://usjr.edu.ph/virtual-tour/basak-campus/olcon/,https://usjr.edu.ph/wp-content/uploads/2016/05/Active-Participation-in-University-Intramurals-2-1024x576.jpg,,
,,https://usjr.edu.ph/2016/11/,https://usjr.edu.ph/2017/09/,https://usjr.edu.ph/2018/10/,https://usjr.edu.ph/2019/09/,https://usjr.edu.ph/2020/12/,https://usjr.edu.ph/2021/10/,https://usjr.edu.ph/2022/11/,https://usjr.edu.ph/2023/02/04/usj-r-to-implement-tuition-fee-hike-after-four-years/,,,,,,,,https://usjr.edu.ph/cas/degrees/graduate/english-master-of-arts/,https://usjr.edu.ph/category/commerce/,,https://usjr.edu.ph/cicct/hall-of-fame/,,https://usjr.edu.ph/coc/events/,,,,,,,,,https://usjr.edu.ph/events/category/coe/,,,,,,,,,,,https://usjr.edu.ph/juniorhighschool/partners/,https://usjr.edu.ph/law/organizations/,https://usjr.edu.ph/library/branch-libraries/library-elementary/,,,,,,https://usjr.edu.ph/portfolio/sample1/,,,,https://usjr.edu.ph/research/downloadables/downloadable-research-forms/student-research-program-forms/,,,https://usjr.edu.ph/rittc/hall-of-fame/,https://usjr.edu.ph/sams/degrees/undergraduate/bsmtlms/,https://usjr.edu.ph/sas/partners/,https://usjr.edu.ph/sbm/degrees/sbm-graduate-programs/,,https://usjr.edu.ph/scs/partners/,,,,,https://usjr.edu.ph/seniorhighschool/partners/,,,,https://usjr.edu.ph/soe/degrees/graduate/,https://usjr.edu.ph/soeng/degrees/undergraduate/,https://usjr.edu.ph/student-life/student-activities/civic-education-and-training/,,,,,,,https://usjr.edu.ph/virtual-tour/basak-campus/parking-lot/,https://usjr.edu.ph/wp-content/uploads/2016/05/Active-Participation-in-University-Intramurals-3-768x1024.jpg,,
