,Link,route_length,base_route
0,http://icto.usjr.edu.ph,0,http://icto.usjr.edu.ph/
1,http://opac.usjr.edu.ph:8080/,1,http://opac.usjr.edu.ph:8080/
2,http://rmrj.usjr.edu.ph/index.php/RMRJ,2,http://rmrj.usjr.edu.ph/
3,https://rmrj.usjr.edu.ph,0,https://rmrj.usjr.edu.ph/
4,https://rmrj.usjr.edu.ph/,1,https://rmrj.usjr.edu.ph/
5,https://rmrj.usjr.edu.ph/index.php/RMRJ/editorial_policy,3,https://rmrj.usjr.edu.ph/
6,https://rmrj.usjr.edu.ph/index.php/RMRJ/about/submissions,4,https://rmrj.usjr.edu.ph/
7,https://rmrj.usjr.edu.ph/index.php/author/admin/,4,https://rmrj.usjr.edu.ph/
8,https://rmrj.usjr.edu.ph/index.php/category/archive/,4,https://rmrj.usjr.edu.ph/
9,https://rmrj.usjr.edu.ph/index.php/category/current/,4,https://rmrj.usjr.edu.ph/
10,https://rmrj.usjr.edu.ph/index.php/category/slider/,4,https://rmrj.usjr.edu.ph/
11,https://rmrj.usjr.edu.ph/index.php/category/videos/,4,https://rmrj.usjr.edu.ph/
12,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/Copyright_Policy,4,https://rmrj.usjr.edu.ph/
13,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/Pub_Ethics,4,https://rmrj.usjr.edu.ph/
14,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/about,4,https://rmrj.usjr.edu.ph/
15,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/announcement,4,https://rmrj.usjr.edu.ph/
16,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/author-guidelines,4,https://rmrj.usjr.edu.ph/
17,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/author_guidelines,4,https://rmrj.usjr.edu.ph/
18,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/index,4,https://rmrj.usjr.edu.ph/
19,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/login,4,https://rmrj.usjr.edu.ph/
20,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/search,4,https://rmrj.usjr.edu.ph/
21,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/about/,5,https://rmrj.usjr.edu.ph/
22,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/about/aboutThisPublishingSystem,5,https://rmrj.usjr.edu.ph/
23,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/about/contact,5,https://rmrj.usjr.edu.ph/
24,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/about/editorialTeam,5,https://rmrj.usjr.edu.ph/
25,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/about/privacy,5,https://rmrj.usjr.edu.ph/
26,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/about/submissions,5,https://rmrj.usjr.edu.ph/
27,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/announcement/,5,https://rmrj.usjr.edu.ph/
28,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/editorial_policy/,5,https://rmrj.usjr.edu.ph/
29,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/information/authors,5,https://rmrj.usjr.edu.ph/
30,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/information/librarians,5,https://rmrj.usjr.edu.ph/
31,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/information/readers,5,https://rmrj.usjr.edu.ph/
32,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/issue/archive,5,https://rmrj.usjr.edu.ph/
33,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/issue/current,5,https://rmrj.usjr.edu.ph/
34,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/login/,5,https://rmrj.usjr.edu.ph/
35,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/login/lostPassword,5,https://rmrj.usjr.edu.ph/
36,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/search/search,5,https://rmrj.usjr.edu.ph/
37,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/user/register,5,https://rmrj.usjr.edu.ph/
38,https://rmrj.usjr.edu.ph/wp-content/uploads/2022/07/A-Brief-Authors-Guide-to-Article-Submission-1.mp4,5,https://rmrj.usjr.edu.ph/
39,https://rmrj.usjr.edu.ph/index.php/2019/10/02/a-brief-auhtors-guide-to-article-submission/,6,https://rmrj.usjr.edu.ph/
40,https://rmrj.usjr.edu.ph/index.php/2019/10/28/351/,6,https://rmrj.usjr.edu.ph/
41,https://rmrj.usjr.edu.ph/index.php/2020/06/04/439/,6,https://rmrj.usjr.edu.ph/
42,https://rmrj.usjr.edu.ph/index.php/2022/06/30/711/,6,https://rmrj.usjr.edu.ph/
43,https://rmrj.usjr.edu.ph/index.php/2022/06/30/social-support-generating-application-using-lazy-supervised-algorithm/,6,https://rmrj.usjr.edu.ph/
44,https://rmrj.usjr.edu.ph/index.php/2022/08/31/scopus-acceptance/,6,https://rmrj.usjr.edu.ph/
